Table S11. CCM.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,icfA,ccmKLMNO,bicA,cmpABCD,ndhF3-D3-chpY,ndhF4D4-chpX,sbtA,rbcLS,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_NIES-843,F,403,F,4|s,1|5|8|K4L1M1N1O1,2|s,2|4|11|A2B4C2D3,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_PCC_7941,F,403,F,3|s,1|5|8|K4L1M1N1O1,2|s,2|4|11|A2B4C2D3,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_PCC_9432,F,403,F,3|s,1|5|8|K4L1M1N1O1,2|s,2|4|13|A3B4C2D4,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_PCC_9443,F,403,F,4|s,1|5|8|K4L1M1N1O1,2|s,2|4|12|A3B4C2D3,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_PCC_9701,F,403,F,3|s,1|5|8|K4L1M1N1O1,1|s,2|4|10|A2B4C2D2,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_PCC_9717,F,403,F,3|s,1|5|8|K4L1M1N1O1,1|s,2|4|12|A2B4C2D4,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_PCC_9806,F,403,F,3|s,1|5|8|K4L1M1N1O1,2|s,2|4|11|A2B4C2D3,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_PCC_9807,F,403,F,4|s,1|5|8|K4L1M1N1O1,2|s,2|4|11|A2B4C2D3,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_PCC_9808,F,403,F,3|s,1|5|8|K4L1M1N1O1,1|s,2|4|11|A2B4C2D3,0|3|2|D0F1Y1,1|3|5|D3F1X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_PCC_9809,F,403,F,2|s,1|5|8|K4L1M1N1O1,3|s,2|4|10|A2B4C2D2,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_aeruginosa_TAIHU98,F,403,F,3|s,1|5|8|K4L1M1N1O1,1|s,2|4|9|A2B3C2D2,0|3|2|D0F1Y1,1|3|6|D3F2X1,1|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Microcystis_sp._T1-4,F,403,F,3|s,1|5|8|K4L1M1N1O1,1|s,2|4|9|A2B3C2D2,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Myxosarcina_sp._GI1,M,0,N,3|s,1|5|8|K4L1M1N1O1,5|s,1|4|13|A3B5C1D4,0|3|2|D0F1Y1,1|3|6|D3F2X1,2|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Nodularia_spumigena_CCY9414,M,4,O,0|s,1|5|7|K3L1M1N1O1,3|s,0|4|1|A0B1C0D0,0|3|2|D0F1Y1,1|3|6|D3F2X1,1|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Nostoc_sp._PCC_7107,F,4,O,5|s,1|5|8|K4L1M1N1O1,0|s,1|4|8|A2B3C1D2,0|3|2|D0F1Y1,1|3|7|D4F2X1,2|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Nostoc_sp._PCC_7120,F,4,O,2|s,1|5|8|K4L1M1N1O1,3|s,2|4|13|A3B4C2D4,0|3|2|D0F1Y1,1|3|8|D5F2X1,2|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Nostoc_sp._PCC_7524,F,4,O,2|s,1|5|9|K5L1M1N1O1,1|s,2|4|15|A4B5C2D4,0|3|2|D0F1Y1,1|3|8|D5F2X1,1|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Oscillatoria_formosa_PCC_6407,F,15,F,1|s,1|5|7|K3L1M1N1O1,4|s,2|4|11|A2B4C2D3,1|3|3|D1F1Y1,1|3|6|D3F2X1,1|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
Oscillatoria_nigro-viridis_PCC_7112,F,15,F,2|s,1|5|7|K3L1M1N1O1,0|s,2|4|13|A3B4C2D4,0|3|2|D0F1Y1,1|3|6|D3F2X1,1|s,1|2|2|L1S1,,,,,,,,,,,,,,,,
Planktothrix_agardhii_NIVA-CYA_126/8,F,41,F,2|s,1|5|7|K3L1M1N1O1,2|s,2|4|9|A2B3C2D2,0|3|3|D0F2Y1,1|3|6|D4F1X1,1|s,1|2|3|L2S1,,,,,,,,,,,,,,,,
