Table S17. Sugar utilization.,,,,,,,,,,,,,
#Strain,Habitat,BlmFreq,BlmType,rfbAB,ehiEFG,aglEFGK,malKFGE,lamB,ybfM,ngcEFG,acs,nagA,nagB
Microcystis_aeruginosa_PCC_9806,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|0|E0F0G0K0,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
Microcystis_aeruginosa_PCC_9807,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|1|E0F0G0K1,0|s,0|s,0|3|0|E0F0G0,4|s,1|s,0|s
Microcystis_aeruginosa_PCC_9808,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|1|E0F0G0K1,0|s,0|s,0|3|0|E0F0G0,3|s,1|s,0|s
Microcystis_aeruginosa_PCC_9809,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|2|E0F0G0K2,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
Microcystis_aeruginosa_TAIHU98,F,403,F,1|2|4|A1B3,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|1|E0F0G0K1,0|s,0|s,0|3|0|E0F0G0,2|s,1|s,0|s
Microcystis_sp._T1-4,F,403,F,1|2|3|A1B2,0|3|0|E0F0G0,0|4|0|E0F0G0K0,0|4|1|E0F0G0K1,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,0|s
Myxosarcina_sp._GI1,M,0,N,2|2|7|A2B5,2|3|7|E2F3G2,0|4|5|E0F1G0K4,1|4|7|E2F1G2K2,0|s,0|s,0|3|0|E0F0G0,7|s,1|s,1|s
Nodularia_spumigena_CCY9414,M,4,O,3|2|6|A3B3,2|3|7|E3F2G2,0|4|1|E0F0G0K1,0|4|2|E0F0G0K2,0|s,0|s,0|3|0|E0F0G0,2|s,1|s,1|s
Nostoc_sp._PCC_7107,F,4,O,3|2|6|A3B3,3|3|9|E3F3G3,0|4|0|E0F0G0K0,0|4|5|E1F0G0K4,0|s,0|s,0|3|0|E0F0G0,2|s,1|s,1|s
Nostoc_sp._PCC_7120,F,4,O,2|2|5|A2B3,3|3|10|E4F3G3,0|4|1|E0F0G0K1,0|4|3|E0F0G0K3,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,1|s
Nostoc_sp._PCC_7524,F,4,O,3|2|8|A3B5,3|3|10|E4F3G3,0|4|0|E0F0G0K0,0|4|4|E0F0G0K4,0|s,0|s,0|3|0|E0F0G0,1|s,1|s,1|s
Oscillatoria_formosa_PCC_6407,F,15,F,2|2|4|A2B2,2|3|6|E2F2G2,0|4|5|E0F0G0K5,0|4|5|E2F0G1K2,0|s,0|s,0|3|1|E0F1G0,5|s,1|s,1|s
Oscillatoria_nigro-viridis_PCC_7112,F,15,F,2|2|6|A2B4,2|3|6|E2F2G2,0|4|2|E0F0G0K2,1|4|6|E1F1G1K3,0|s,0|s,0|3|0|E0F0G0,3|s,1|s,0|s
Planktothrix_agardhii_NIVA-CYA_126/8,F,41,F,1|2|3|A1B2,1|3|3|E1F1G1,0|4|2|E0F0G0K2,1|4|5|E1F1G1K2,0|s,0|s,0|3|0|E0F0G0,3|s,1|s,0|s
